ID,Turno,Codigo_da_RA
1163,Noite,2
1164,Noite,4
1165,Noite,4
1166,Noite,1
1167,Noite,1
1168,Noite,2
1169,Noite,2
1170,Noite,2
1171,Noite,2
1172,Noite,2
1173,Noite,2
1174,Noite,2
1175,Noite,2
1176,Noite,2
1177,Noite,2
1178,Noite,2
1179,Noite,2
1180,Noite,2
1181,Noite,2
1182,Manhã,2
1183,Manhã,2
1184,Manhã,2
1185,Manhã,2
1186,Manhã,2
1187,Manhã,2
1188,Tarde,2
1189,Tarde,2
1190,Noite,16
1191,Noite,16
1192,Noite,16
1193,Noite,16
1194,Noite,16
1195,Noite,16
1196,Noite,16
1197,Noite,16
1198,Noite,3
1199,Noite,7
1200,Noite,2
1201,Noite,3
1202,Noite,3
1203,Noite,8
1204,Noite,8
1205,Noite,2
1206,Noite,2
1207,Noite,2
1208,Noite,2
1209,Noite,2
1210,Noite,2
1211,Noite,2
1212,Noite,4
1213,Noite,2
1214,Noite,2
1215,Noite,2
1216,Noite,2
1217,Noite,2
1218,Noite,2
1219,Noite,2
1220,Noite,2
1221,Noite,16
1222,Noite,2
1223,Noite,2
1224,Noite,2
1225,Noite,2
1226,Noite,2
1227,Noite,2
1228,Noite,2
1229,Noite,2
1230,Noite,2
1231,Noite,2
1232,Noite,2
1233,Noite,2
1234,Noite,2
1235,Noite,2
1236,Noite,2
1237,Noite,2
1238,Noite,2
1239,Noite,2
1240,Noite,2
1241,Manhã,6
1242,Noite,2
1243,Noite,2
1244,Noite,2
1245,Noite,2
1246,Noite,2
1247,Noite,2
1248,Noite,2
1249,Noite,2
1250,Noite,2
1251,Noite,2
1252,Noite,2
1253,Noite,2
1254,Noite,2
1255,Noite,2
1256,Noite,2
1257,Noite,2
1258,Manhã,6
1259,Manhã,5
1260,Manhã,5
1261,Manhã,5
1262,Manhã,5
1263,Manhã,5
1264,Manhã,6
1265,Manhã,5
1266,Manhã,5
1267,Manhã,5
1268,Manhã,5
1269,Manhã,5
1270,Manhã,5
1271,Noite,5
1272,Noite,5
1273,Noite,5
1274,Noite,5
1275,Manhã,5
1276,Manhã,5
1277,Manhã,5
1278,Tarde,5
1279,Tarde,5
1280,Tarde,5
1281,Tarde,5
1282,Noite,5
1283,Noite,5
1284,Noite,5
1285,Tarde,5
1286,Tarde,5
1287,Manhã,5
1288,Manhã,6
1289,Manhã,6
1290,Manhã,6
1291,Manhã,6
1292,Tarde,5
1293,Tarde,5
1294,Tarde,5
1295,Manhã,5
1296,Manhã,6
1297,Manhã,6
1298,Tarde,6
1299,Manhã,5
1300,Manhã,5
1301,Manhã,5
1302,Manhã,5
1303,Manhã,5
1304,Manhã,5
1305,Manhã,5
1306,Manhã,5
1307,Tarde,5
1308,Tarde,5
1309,Tarde,5
1310,Tarde,5
1311,Tarde,5
1312,Manhã,5
1313,Manhã,5
1314,Manhã,5
1315,Manhã,5
1316,Manhã,5
1317,Tarde,5
1318,Manhã,6
1319,Manhã,5
1320,Manhã,5
1321,Manhã,5
1322,Manhã,5
1323,Manhã,5
1324,Manhã,5
1325,Tarde,5
1326,Tarde,5
1327,Manhã,5
1328,Manhã,5
1329,Manhã,5
1330,Manhã,5
1331,Manhã,5
1332,Tarde,5
1333,Tarde,5
1334,Tarde,5
1335,Manhã,5
1336,Manhã,5
1337,Manhã,5
1338,Manhã,5
1339,Manhã,5
1340,Tarde,5
1341,Tarde,5
1342,Manhã,6
1343,Manhã,5
1344,Manhã,5
1345,Manhã,5
1346,Manhã,5
1347,Tarde,5
1348,Tarde,5
1349,Manhã,5
1350,Manhã,5
1351,Manhã,5
1352,Manhã,5
1353,Manhã,5
1354,Manhã,5
1355,Manhã,5
1356,Tarde,5
1357,Tarde,5
1358,Noite,2
1359,Noite,2
1360,Noite,2
1361,Noite,2
1362,Noite,2
1363,Manhã,5
1364,Manhã,6
1365,Manhã,5
1366,Manhã,5
1367,Manhã,5
1368,Manhã,5
1369,Manhã,5
1370,Tarde,6
1371,Manhã,5
1372,Manhã,5
1373,Tarde,5
1374,Manhã,5
1375,Manhã,5
1376,Manhã,5
1377,Tarde,5
1378,Manhã,5
1379,Manhã,6
1380,Manhã,6
1381,Manhã,6
1382,Manhã,6
1383,Tarde,6
1384,Manhã,5
1385,Manhã,5
1386,Manhã,5
1387,Manhã,5
1388,Manhã,5
1389,Manhã,5
1390,Manhã,5
1391,Manhã,5
1392,Manhã,5
1393,Manhã,5
1394,Tarde,5
1395,Tarde,5
1396,Tarde,5
1397,Tarde,5
1398,Manhã,5
1399,Manhã,5
1400,Manhã,5
1401,Tarde,5
1402,Tarde,5
1403,Tarde,5
1404,Manhã,5
1405,Manhã,5
1406,Manhã,5
1407,Tarde,5
1408,Tarde,5
1409,Tarde,5
1410,Manhã,6
1411,Manhã,6
1412,Manhã,6
1413,Manhã,6
1414,Tarde,6
1415,Manhã,6
1416,Manhã,6
1417,Manhã,6
1418,Manhã,6
1419,Manhã,5
1420,Manhã,5
1421,Manhã,5
1422,Tarde,5
1423,Manhã,6
1424,Manhã,6
1425,Manhã,6
1426,Manhã,6
1427,Tarde,6
1428,Tarde,6
1429,Tarde,6
1430,Noite,4
1431,Manhã,5
1432,Manhã,5
1433,Manhã,5
1434,Manhã,5
1435,Tarde,5
1436,Tarde,5
1437,Tarde,5
1438,Tarde,5
1439,Noite,5
1440,Tarde,6
1441,Manhã,6
1442,Tarde,6
1443,Tarde,5
1444,Tarde,6
1445,Manhã,5
1446,Manhã,5
1447,Manhã,5
1448,Manhã,5
1449,Manhã,5
1450,Manhã,5
1451,Tarde,5
1452,Tarde,5
1453,Tarde,5
1454,Tarde,5
1455,Tarde,5
1456,Noite,5
