morador_id,codigo
246,codigo_DOC3
247,codigo_DOC4
249,codigo_DOC2
249,codigo_DOC3
250,codigo_DOC1
250,codigo_DOC3
250,codigo_DOC4
250,codigo_DOC5
251,codigo_DOC1
251,codigo_DOC2
251,codigo_DOC3
252,codigo_DOC1
252,codigo_DOC3
252,codigo_DOC4
252,codigo_DOC5
253,codigo_DOC2
253,codigo_DOC4
254,codigo_DOC1
254,codigo_DOC2
254,codigo_DOC3
254,codigo_DOC5
255,codigo_DOC1
255,codigo_DOC2
255,codigo_DOC3
255,codigo_DOC4
255,codigo_DOC5
256,codigo_DOC1
256,codigo_DOC2
256,codigo_DOC3
257,codigo_DOC1
257,codigo_DOC2
257,codigo_DOC3
257,codigo_DOC5
259,codigo_DOC1
259,codigo_DOC2
259,codigo_DOC3
259,codigo_DOC4
261,codigo_DOC1
261,codigo_DOC2
262,codigo_DOC1
262,codigo_DOC3
262,codigo_DOC5
263,codigo_DOC1
263,codigo_DOC2
263,codigo_DOC3
264,codigo_DOC1
264,codigo_DOC2
264,codigo_DOC3
264,codigo_DOC4
264,codigo_DOC5
266,codigo_DOC2
267,codigo_DOC1
267,codigo_DOC2
267,codigo_DOC3
267,codigo_DOC4
267,codigo_DOC5
268,codigo_DOC1
268,codigo_DOC2
268,codigo_DOC3
268,codigo_DOC4
268,codigo_DOC5
269,codigo_DOC1
269,codigo_DOC2
269,codigo_DOC3
269,codigo_DOC4
269,codigo_DOC5
270,codigo_DOC1
270,codigo_DOC2
270,codigo_DOC3
270,codigo_DOC4
270,codigo_DOC5
271,codigo_DOC1
271,codigo_DOC2
271,codigo_DOC3
271,codigo_DOC4
271,codigo_DOC5
272,codigo_DOC1
272,codigo_DOC2
272,codigo_DOC3
272,codigo_DOC4
272,codigo_DOC5
274,codigo_DOC1
274,codigo_DOC2
274,codigo_DOC3
275,codigo_DOC1
275,codigo_DOC2
275,codigo_DOC3
275,codigo_DOC5
276,codigo_DOC1
276,codigo_DOC2
276,codigo_DOC3
276,codigo_DOC5
277,codigo_DOC1
277,codigo_DOC2
277,codigo_DOC3
277,codigo_DOC4
277,codigo_DOC5
280,codigo_DOC1
280,codigo_DOC2
280,codigo_DOC3
280,codigo_DOC4
280,codigo_DOC5
281,codigo_DOC1
281,codigo_DOC2
281,codigo_DOC3
281,codigo_DOC4
281,codigo_DOC5
282,codigo_DOC1
282,codigo_DOC2
282,codigo_DOC3
283,codigo_DOC2
283,codigo_DOC3
284,codigo_DOC1
284,codigo_DOC2
284,codigo_DOC3
284,codigo_DOC5
285,codigo_DOC2
285,codigo_DOC4
286,codigo_DOC1
286,codigo_DOC2
286,codigo_DOC3
286,codigo_DOC5
288,codigo_DOC1
288,codigo_DOC2
288,codigo_DOC3
288,codigo_DOC4
288,codigo_DOC5
289,codigo_DOC1
289,codigo_DOC2
289,codigo_DOC3
289,codigo_DOC5
292,codigo_DOC1
292,codigo_DOC2
292,codigo_DOC3
292,codigo_DOC4
292,codigo_DOC5
294,codigo_DOC2
294,codigo_DOC3
295,codigo_DOC2
296,codigo_DOC1
296,codigo_DOC3
296,codigo_DOC5
297,codigo_DOC1
297,codigo_DOC2
297,codigo_DOC4
297,codigo_DOC5
299,codigo_DOC1
299,codigo_DOC3
299,codigo_DOC4
300,codigo_DOC1
300,codigo_DOC2
300,codigo_DOC3
300,codigo_DOC4
300,codigo_DOC5
303,codigo_DOC1
303,codigo_DOC2
303,codigo_DOC3
303,codigo_DOC5
304,codigo_DOC1
304,codigo_DOC2
304,codigo_DOC3
304,codigo_DOC4
304,codigo_DOC5
305,codigo_DOC2
306,codigo_DOC2
307,codigo_DOC1
308,codigo_DOC1
308,codigo_DOC2
308,codigo_DOC3
308,codigo_DOC5
310,codigo_DOC1
310,codigo_DOC2
310,codigo_DOC3
310,codigo_DOC4
310,codigo_DOC5
311,codigo_DOC1
311,codigo_DOC2
311,codigo_DOC3
311,codigo_DOC5
312,codigo_DOC1
312,codigo_DOC2
312,codigo_DOC3
312,codigo_DOC4
312,codigo_DOC5
313,codigo_DOC1
313,codigo_DOC2
313,codigo_DOC3
