ID,Rua_Acolhimento,Motivo_dormir_rua
279,Rua,Demissão do trabalho/desemprego ou perda da renda
280,Rua,Alcoolismo e/ou uso de drogas
281,Rua,Demissão do trabalho/desemprego ou perda da renda
282,Rua,Conflitos familiares (inclui separação)
283,Rua,Conflitos familiares (inclui separação)
284,Rua,Conflitos familiares (inclui separação)
285,Rua,Demissão do trabalho/desemprego ou perda da renda
286,Rua,Conflitos familiares (inclui separação)
287,Rua,Outros
288,Rua,Conflitos familiares (inclui separação)
289,Rua,Conflitos familiares (inclui separação)
290,Rua,Conflitos familiares (inclui separação)
291,Rua,Alcoolismo e/ou uso de drogas
292,Rua,Demissão do trabalho/desemprego ou perda da renda
293,Rua,Nasci na rua e permaneço nela
294,Rua,Conflitos familiares (inclui separação)
295,Rua,Conflitos familiares (inclui separação)
296,Rua,Demissão do trabalho/desemprego ou perda da renda
297,Rua,Alcoolismo e/ou uso de drogas
298,Rua,Alcoolismo e/ou uso de drogas
299,Rua,Conflitos familiares (inclui separação)
300,Rua,Demissão do trabalho/desemprego ou perda da renda
301,Rua,Alcoolismo e/ou uso de drogas
302,Rua,Conflitos familiares (inclui separação)
303,Rua,Outros
304,Rua,Alcoolismo e/ou uso de drogas
305,Rua,Alcoolismo e/ou uso de drogas
306,Rua,Conflitos familiares (inclui separação)
307,Rua,Conflitos familiares (inclui separação)
308,Rua,Conflitos familiares (inclui separação)
309,Rua,Conflitos familiares (inclui separação)
310,Rua,Alcoolismo e/ou uso de drogas
311,Rua,Alcoolismo e/ou uso de drogas
312,Rua,Conflitos familiares (inclui separação)
313,Rua,Conflitos familiares (inclui separação)
314,Rua,Conflitos familiares (inclui separação)
315,Rua,Conflitos familiares (inclui separação)
316,Rua,Outros
317,Rua,Conflitos familiares (inclui separação)
318,Rua,Conflitos familiares (inclui separação)
319,Rua,"Sofria ameaças, abusos ou violência"
320,Rua,Outros
321,Rua,Conflitos familiares (inclui separação)
322,Rua,Conflitos familiares (inclui separação)
323,Rua,Demissão do trabalho/desemprego ou perda da renda
324,Rua,Conflitos familiares (inclui separação)
325,Rua,Conflitos familiares (inclui separação)
326,Rua,Demissão do trabalho/desemprego ou perda da renda
327,Rua,Alcoolismo e/ou uso de drogas
328,Rua,Alcoolismo e/ou uso de drogas
329,Rua,Conflitos familiares (inclui separação)
330,Rua,"Sofria ameaças, abusos ou violência"
331,Rua,Demissão do trabalho/desemprego ou perda da renda
332,Rua,Conflitos familiares (inclui separação)
333,Rua,Conflitos familiares (inclui separação)
334,Rua,Alcoolismo e/ou uso de drogas
335,Rua,Alcoolismo e/ou uso de drogas
336,Rua,Conflitos familiares (inclui separação)
337,Rua,Conflitos familiares (inclui separação)
338,Rua,Alcoolismo e/ou uso de drogas
339,Rua,"Perda de casa por causas naturais/acidentes (ex: alagamentos, deslizamentos e incêndios)"
340,Rua,Alcoolismo e/ou uso de drogas
341,Rua,Outros
342,Rua,Conflitos familiares (inclui separação)
343,Rua,Outros
344,Rua,Demissão do trabalho/desemprego ou perda da renda
345,Rua,Demissão do trabalho/desemprego ou perda da renda
346,Rua,Demissão do trabalho/desemprego ou perda da renda
347,Rua,Demissão do trabalho/desemprego ou perda da renda
348,Rua,Conflitos familiares (inclui separação)
349,Rua,Conflitos familiares (inclui separação)
350,Rua,Alcoolismo e/ou uso de drogas
351,Rua,Conflitos familiares (inclui separação)
352,Rua,Alcoolismo e/ou uso de drogas
353,Rua,Conflitos familiares (inclui separação)
354,Rua,Alcoolismo e/ou uso de drogas
355,Rua,Alcoolismo e/ou uso de drogas
356,Rua,Conflitos familiares (inclui separação)
357,Rua,Conflitos familiares (inclui separação)
358,Rua,Conflitos familiares (inclui separação)
359,Rua,Desentendimentos na comunidade ou vizinhança
360,Rua,Outros
361,Rua,Outros
362,Rua,Demissão do trabalho/desemprego ou perda da renda
363,Rua,Conflitos familiares (inclui separação)
364,Rua,Conflitos familiares (inclui separação)
365,Rua,Conflitos familiares (inclui separação)
366,Rua,Conflitos familiares (inclui separação)
367,Rua,Para ficar perto do trabalho/ sem passagem para voltar para casa (mais de uma vez)
368,Rua,Demissão do trabalho/desemprego ou perda da renda
369,Rua,Conflitos familiares (inclui separação)
370,Rua,Demissão do trabalho/desemprego ou perda da renda
371,Rua,Conflitos familiares (inclui separação)
372,Rua,Conflitos familiares (inclui separação)
373,Rua,Desentendimentos na comunidade ou vizinhança
374,Rua,Conflitos familiares (inclui separação)
375,Rua,Conflitos familiares (inclui separação)
376,Rua,Conflitos familiares (inclui separação)
377,Rua,Andarilho / Nômade / Viajante
378,Rua,Conflitos familiares (inclui separação)
379,Rua,Conflitos familiares (inclui separação)
380,Rua,Conflitos familiares (inclui separação)
381,Rua,Demissão do trabalho/desemprego ou perda da renda
382,Rua,Conflitos familiares (inclui separação)
383,Rua,Demissão do trabalho/desemprego ou perda da renda
384,Rua,Conflitos familiares (inclui separação)
385,Rua,Conflitos familiares (inclui separação)
386,Rua,Demissão do trabalho/desemprego ou perda da renda
387,Rua,Conflitos familiares (inclui separação)
388,Rua,Demissão do trabalho/desemprego ou perda da renda
389,Rua,Demissão do trabalho/desemprego ou perda da renda
390,Rua,Demissão do trabalho/desemprego ou perda da renda
391,Rua,NS/NR
392,Rua,Conflitos familiares (inclui separação)
393,Rua,Outros
394,Rua,Demissão do trabalho/desemprego ou perda da renda
395,Rua,Conflitos familiares (inclui separação)
396,Rua,Conflitos familiares (inclui separação)
397,Rua,Alcoolismo e/ou uso de drogas
398,Rua,Conflitos familiares (inclui separação)
399,Rua,Alcoolismo e/ou uso de drogas
400,Rua,Demissão do trabalho/desemprego ou perda da renda
401,Rua,Conflitos familiares (inclui separação)
402,Rua,Outros
403,Rua,Conflitos familiares (inclui separação)
404,Rua,Alcoolismo e/ou uso de drogas
405,Rua,Demissão do trabalho/desemprego ou perda da renda
406,Rua,Demissão do trabalho/desemprego ou perda da renda
407,Rua,Conflitos familiares (inclui separação)
408,Rua,Alcoolismo e/ou uso de drogas
409,Rua,Outros
410,Rua,Conflitos familiares (inclui separação)
411,Rua,Conflitos familiares (inclui separação)
412,Rua,Alcoolismo e/ou uso de drogas
413,Rua,Alcoolismo e/ou uso de drogas
414,Rua,Alcoolismo e/ou uso de drogas
415,Rua,Alcoolismo e/ou uso de drogas
416,Rua,Migrantes ou refugiado
417,Rua,Demissão do trabalho/desemprego ou perda da renda
418,Rua,Alcoolismo e/ou uso de drogas
419,Rua,Demissão do trabalho/desemprego ou perda da renda
420,Rua,Desentendimentos na comunidade ou vizinhança
421,Rua,Conflitos familiares (inclui separação)
422,Rua,Alcoolismo e/ou uso de drogas
423,Rua,Alcoolismo e/ou uso de drogas
424,Rua,Alcoolismo e/ou uso de drogas
425,Rua,Demissão do trabalho/desemprego ou perda da renda
426,Rua,Demissão do trabalho/desemprego ou perda da renda
427,Rua,Outros
428,Rua,Alcoolismo e/ou uso de drogas
429,Rua,"Perda de casa por causas naturais/acidentes (ex: alagamentos, deslizamentos e incêndios)"
430,Rua,Saída do sistema prisional (Casa de detenção/cadeia/penitenciária/ DEGASE)
431,Rua,Alcoolismo e/ou uso de drogas
432,Rua,Alcoolismo e/ou uso de drogas
433,Rua,"Sofria ameaças, abusos ou violência"
434,Rua,Demissão do trabalho/desemprego ou perda da renda
435,Rua,Demissão do trabalho/desemprego ou perda da renda
436,Rua,Conflitos familiares (inclui separação)
437,Rua,Conflitos familiares (inclui separação)
438,Rua,Conflitos familiares (inclui separação)
439,Rua,Alcoolismo e/ou uso de drogas
440,Rua,Conflitos familiares (inclui separação)
441,Rua,Conflitos familiares (inclui separação)
442,Rua,Conflitos familiares (inclui separação)
443,Rua,Saída do sistema prisional (Casa de detenção/cadeia/penitenciária/ DEGASE)
444,Rua,Alcoolismo e/ou uso de drogas
445,Rua,Conflitos familiares (inclui separação)
446,Rua,Conflitos familiares (inclui separação)
447,Rua,Alcoolismo e/ou uso de drogas
448,Rua,Conflitos familiares (inclui separação)
449,Rua,Alcoolismo e/ou uso de drogas
450,Rua,Alcoolismo e/ou uso de drogas
451,Rua,Conflitos familiares (inclui separação)
452,Rua,Conflitos familiares (inclui separação)
453,Rua,Conflitos familiares (inclui separação)
454,Rua,Alcoolismo e/ou uso de drogas
455,Rua,Demissão do trabalho/desemprego ou perda da renda
456,Rua,Conflitos familiares (inclui separação)
457,Rua,Família passou a viver na rua
458,Rua,Conflitos familiares (inclui separação)
459,Rua,Outros
460,Rua,Alcoolismo e/ou uso de drogas
461,Rua,Demissão do trabalho/desemprego ou perda da renda
462,Rua,Demissão do trabalho/desemprego ou perda da renda
463,Rua,Outros
464,Rua,Alcoolismo e/ou uso de drogas
465,Rua,Outros
466,Rua,Conflitos familiares (inclui separação)
467,Rua,"Sofria ameaças, abusos ou violência"
468,Rua,Para ficar perto do trabalho/ sem passagem para voltar para casa (mais de uma vez)
469,Rua,Demissão do trabalho/desemprego ou perda da renda
470,Rua,Conflitos familiares (inclui separação)
471,Rua,Conflitos familiares (inclui separação)
472,Rua,Demissão do trabalho/desemprego ou perda da renda
473,Rua,Demissão do trabalho/desemprego ou perda da renda
474,Rua,Outros
475,Rua,"Sofria ameaças, abusos ou violência"
476,Rua,Demissão do trabalho/desemprego ou perda da renda
477,Rua,Conflitos familiares (inclui separação)
478,Rua,Alcoolismo e/ou uso de drogas
479,Rua,Demissão do trabalho/desemprego ou perda da renda
480,Rua,Conflitos familiares (inclui separação)
481,Rua,Para ficar perto do trabalho/ sem passagem para voltar para casa (mais de uma vez)
482,Rua,Conflitos familiares (inclui separação)
483,Rua,Outros
484,Rua,Alcoolismo e/ou uso de drogas
485,Rua,Outros
486,Rua,"Perda de casa por causas naturais/acidentes (ex: alagamentos, deslizamentos e incêndios)"
487,Rua,Alcoolismo e/ou uso de drogas
488,Rua,"Perda de casa por causas naturais/acidentes (ex: alagamentos, deslizamentos e incêndios)"
489,Rua,Conflitos familiares (inclui separação)
490,Rua,Demissão do trabalho/desemprego ou perda da renda
491,Rua,Outros
492,Rua,Alcoolismo e/ou uso de drogas
493,Rua,Conflitos familiares (inclui separação)
494,Rua,Outros
495,Rua,Conflitos familiares (inclui separação)
496,Rua,Conflitos familiares (inclui separação)
497,Rua,Conflitos familiares (inclui separação)
498,Rua,Conflitos familiares (inclui separação)
499,Rua,Para ficar perto do trabalho/ sem passagem para voltar para casa (mais de uma vez)
500,Rua,Conflitos familiares (inclui separação)
501,Rua,Conflitos familiares (inclui separação)
502,Rua,Demissão do trabalho/desemprego ou perda da renda
503,Rua,Conflitos familiares (inclui separação)
504,Rua,Conflitos familiares (inclui separação)
505,Rua,Conflitos familiares (inclui separação)
506,Rua,Demissão do trabalho/desemprego ou perda da renda
507,Rua,Conflitos familiares (inclui separação)
508,Rua,Conflitos familiares (inclui separação)
509,Rua,Saída do sistema prisional (Casa de detenção/cadeia/penitenciária/ DEGASE)
510,Rua,Conflitos familiares (inclui separação)
511,Rua,"Sofria ameaças, abusos ou violência"
512,Rua,Conflitos familiares (inclui separação)
513,Rua,Alcoolismo e/ou uso de drogas
514,Rua,Conflitos familiares (inclui separação)
515,Rua,Conflitos familiares (inclui separação)
516,Rua,Alcoolismo e/ou uso de drogas
517,Rua,Alcoolismo e/ou uso de drogas
518,Rua,Conflitos familiares (inclui separação)
519,Rua,Conflitos familiares (inclui separação)
520,Rua,Conflitos familiares (inclui separação)
521,Rua,Conflitos familiares (inclui separação)
522,Rua,Desentendimentos na comunidade ou vizinhança
523,Rua,Demissão do trabalho/desemprego ou perda da renda
524,Rua,Conflitos familiares (inclui separação)
525,Rua,Conflitos familiares (inclui separação)
526,Rua,Conflitos familiares (inclui separação)
527,Rua,Conflitos familiares (inclui separação)
528,Rua,Alcoolismo e/ou uso de drogas
529,Rua,Conflitos familiares (inclui separação)
530,Rua,Conflitos familiares (inclui separação)
531,Rua,Alcoolismo e/ou uso de drogas
532,Rua,Conflitos familiares (inclui separação)
533,Rua,Conflitos familiares (inclui separação)
534,Rua,Conflitos familiares (inclui separação)
535,Rua,"Perda de casa por causas naturais/acidentes (ex: alagamentos, deslizamentos e incêndios)"
536,Rua,Outros
537,Rua,Alcoolismo e/ou uso de drogas
538,Rua,Conflitos familiares (inclui separação)
539,Rua,Conflitos familiares (inclui separação)
540,Rua,Demissão do trabalho/desemprego ou perda da renda
541,Rua,Saída do sistema prisional (Casa de detenção/cadeia/penitenciária/ DEGASE)
542,Rua,Conflitos familiares (inclui separação)
543,Rua,Conflitos familiares (inclui separação)
544,Rua,Demissão do trabalho/desemprego ou perda da renda
545,Rua,Conflitos familiares (inclui separação)
546,Rua,Conflitos familiares (inclui separação)
547,Rua,Conflitos familiares (inclui separação)
548,Rua,Conflitos familiares (inclui separação)
549,Rua,Alcoolismo e/ou uso de drogas
550,Rua,Conflitos familiares (inclui separação)
551,Rua,Conflitos familiares (inclui separação)
552,Rua,Conflitos familiares (inclui separação)
553,Rua,Conflitos familiares (inclui separação)
554,Rua,Conflitos familiares (inclui separação)
555,Rua,"Sofria ameaças, abusos ou violência"
556,Rua,Conflitos familiares (inclui separação)
557,Rua,"Sofria ameaças, abusos ou violência"
