ID,Codigo_da_RA,nome_bairro
6140,19,Santa Cruz
6146,19,Paciência
6146,19,Sepetiba
6146,19,Santa Cruz
6152,19,Paciência
6152,19,Sepetiba
6152,19,Santa Cruz
6170,19,Paciência
6170,19,Sepetiba
6170,19,Santa Cruz
6171,19,Paciência
6171,19,Sepetiba
6171,19,Santa Cruz
6173,19,Paciência
6173,19,Sepetiba
6173,19,Santa Cruz
6174,19,Paciência
6174,19,Sepetiba
6174,19,Santa Cruz
6186,19,Paciência
6186,19,Sepetiba
6186,19,Santa Cruz
6189,19,Paciência
6189,19,Sepetiba
6189,19,Santa Cruz
6203,19,Paciência
6203,19,Sepetiba
6203,19,Santa Cruz
6209,19,Paciência
6209,19,Sepetiba
6209,19,Santa Cruz
6214,19,Paciência
6214,19,Sepetiba
6214,19,Santa Cruz
6216,19,Paciência
6216,19,Sepetiba
6216,19,Santa Cruz
6217,19,Paciência
6217,19,Sepetiba
6217,19,Santa Cruz
6221,19,Paciência
6221,19,Sepetiba
6221,19,Santa Cruz
6222,19,Paciência
6222,19,Sepetiba
6222,19,Santa Cruz
6238,19,Paciência
6238,19,Sepetiba
6238,19,Santa Cruz
6255,19,Paciência
6255,19,Sepetiba
6255,19,Santa Cruz
6259,19,Paciência
6259,19,Sepetiba
6259,19,Santa Cruz
6260,19,Paciência
6260,19,Sepetiba
6260,19,Santa Cruz
6267,19,Paciência
6267,19,Sepetiba
6267,19,Santa Cruz
6269,19,Paciência
6269,19,Sepetiba
6269,19,Santa Cruz
6271,19,Paciência
6271,19,Sepetiba
6271,19,Santa Cruz
6277,19,Paciência
6277,19,Sepetiba
6277,19,Santa Cruz
6278,19,Paciência
6278,19,Sepetiba
6278,19,Santa Cruz
6283,19,Paciência
6283,19,Sepetiba
6283,19,Santa Cruz
6306,19,Paciência
6306,19,Sepetiba
6306,19,Santa Cruz
6307,19,Paciência
6307,19,Sepetiba
6307,19,Santa Cruz
6310,19,Paciência
6310,19,Sepetiba
6310,19,Santa Cruz
6332,19,Paciência
6332,19,Sepetiba
6332,19,Santa Cruz
6334,19,Paciência
6334,19,Sepetiba
6334,19,Santa Cruz
6339,19,Paciência
6339,19,Sepetiba
6339,19,Santa Cruz
6342,19,Paciência
6342,19,Sepetiba
6342,19,Santa Cruz
6345,19,Paciência
6345,19,Sepetiba
6345,19,Santa Cruz
6347,19,Paciência
6347,19,Sepetiba
6347,19,Santa Cruz
6365,19,Paciência
6365,19,Sepetiba
6365,19,Santa Cruz
6377,19,Paciência
6377,19,Sepetiba
6377,19,Santa Cruz
6379,19,Paciência
6379,19,Sepetiba
6379,19,Santa Cruz
6380,19,Paciência
6380,19,Sepetiba
6380,19,Santa Cruz
6385,19,Paciência
6385,19,Sepetiba
6385,19,Santa Cruz
6389,19,Paciência
6389,19,Sepetiba
6389,19,Santa Cruz
6391,19,Paciência
6391,19,Sepetiba
6391,19,Santa Cruz
6402,19,Paciência
6402,19,Sepetiba
6402,19,Santa Cruz
6415,19,Paciência
6415,19,Sepetiba
6415,19,Santa Cruz
6419,19,Paciência
6419,19,Sepetiba
6419,19,Santa Cruz
6430,19,Paciência
6430,19,Sepetiba
6430,19,Santa Cruz
6431,19,Paciência
6431,19,Sepetiba
6431,19,Santa Cruz
6435,19,Paciência
6435,19,Sepetiba
6435,19,Santa Cruz
6437,19,Paciência
6437,19,Sepetiba
6437,19,Santa Cruz
6438,19,Paciência
6438,19,Sepetiba
6438,19,Santa Cruz
6450,19,Paciência
6450,19,Sepetiba
6450,19,Santa Cruz
6479,19,Paciência
6479,19,Sepetiba
6479,19,Santa Cruz
6487,19,Paciência
6487,19,Sepetiba
6487,19,Santa Cruz
6488,19,Paciência
6488,19,Sepetiba
6488,19,Santa Cruz
6499,19,Paciência
6499,19,Sepetiba
6499,19,Santa Cruz
6501,19,Paciência
6501,19,Sepetiba
6501,19,Santa Cruz
6510,19,Paciência
6510,19,Sepetiba
6510,19,Santa Cruz
6516,19,Paciência
6516,19,Sepetiba
6516,19,Santa Cruz
6519,19,Paciência
6519,19,Sepetiba
6519,19,Santa Cruz
6522,19,Paciência
6522,19,Sepetiba
6522,19,Santa Cruz
6532,19,Paciência
6532,19,Sepetiba
6532,19,Santa Cruz
6539,19,Paciência
6539,19,Sepetiba
6539,19,Santa Cruz
6554,19,Paciência
6554,19,Sepetiba
6554,19,Santa Cruz
6571,19,Paciência
6571,19,Sepetiba
6571,19,Santa Cruz
6573,19,Paciência
6573,19,Sepetiba
6573,19,Santa Cruz
6590,19,Paciência
6590,19,Sepetiba
6590,19,Santa Cruz
6618,19,Paciência
6618,19,Sepetiba
6618,19,Santa Cruz
6619,19,Paciência
6619,19,Sepetiba
6619,19,Santa Cruz
6620,19,Paciência
6620,19,Sepetiba
6620,19,Santa Cruz
6621,19,Paciência
6621,19,Sepetiba
6621,19,Santa Cruz
6622,19,Paciência
6622,19,Sepetiba
6622,19,Santa Cruz
6623,19,Paciência
6623,19,Sepetiba
